Time;Temperature
Jan-20;40.6
Feb-20;40.8
Mar-20;44.4
Apr-20;46.7
May-20;54.1
Jun-20;58.5
Jul-20;57.7
Aug-20;56.4
Sep-20;54.3
Oct-20;50.5
Nov-20;42.9
Dec-20;39.8
Jan-21;44.2
Feb-21;39.8
Mar-21;45.1
Apr-21;47.0
May-21;54.1
Jun-21;58.7
Jul-21;66.3
Aug-21;59.9
Sep-21;57.0
Oct-21;54.2
Nov-21;39.7
Dec-21;42.8
Jan-22;37.5
Feb-22;38.7
Mar-22;39.5
Apr-22;42.1
May-22;55.7
Jun-22;57.8
Jul-22;56.8
Aug-22;54.3
Sep-22;54.3
Oct-22;47.1
Nov-22;41.8
Dec-22;41.7
Jan-23;41.8
Feb-23;40.1
Mar-23;42.9
Apr-23;45.8
May-23;49.2
Jun-23;52.7
Jul-23;64.2
Aug-23;59.6
Sep-23;54.4
Oct-23;49.2
Nov-23;36.3
Dec-23;37.6
Jan-24;39.3
Feb-24;37.5
Mar-24;38.3
Apr-24;45.5
May-24;53.2
Jun-24;57.7
Jul-24;60.8
Aug-24;58.2
Sep-24;56.4
Oct-24;49.8
Nov-24;44.4
Dec-24;43.6
Jan-25;40.0
Feb-25;40.5
Mar-25;40.8
Apr-25;45.1
May-25;53.8
Jun-25;59.4
Jul-25;63.5
Aug-25;61.0
Sep-25;53.0
Oct-25;50.0
Nov-25;38.1
Dec-25;36.3
Jan-26;39.2
Feb-26;43.4
Mar-26;43.4
Apr-26;48.9
May-26;50.6
Jun-26;56.8
Jul-26;62.5
Aug-26;62.0
Sep-26;57.5
Oct-26;46.7
Nov-26;41.6
Dec-26;39.8
Jan-27;39.4
Feb-27;38.5
Mar-27;45.3
Apr-27;47.1
May-27;51.7
Jun-27;55.0
Jul-27;60.4
Aug-27;60.5
Sep-27;54.7
Oct-27;50.3
Nov-27;42.3
Dec-27;35.2
Jan-28;40.8
Feb-28;41.1
Mar-28;42.8
Apr-28;47.3
May-28;50.9
Jun-28;56.4
Jul-28;62.2
Aug-28;60.5
Sep-28;55.4
Oct-28;50.2
Nov-28;43.0
Dec-28;37.3
Jan-29;34.8
Feb-29;31.3
Mar-29;41.0
Apr-29;43.9
May-29;53.1
Jun-29;56.9
Jul-29;62.5
Aug-29;60.3
Sep-29;59.8
Oct-29;49.2
Nov-29;42.9
Dec-29;41.9
Jan-30;41.6
Feb-30;37.1
Mar-30;41.2
Apr-30;46.9
May-30;51.2
Jun-30;60.4
Jul-30;60.1
Aug-30;61.6
Sep-30;57.0
Oct-30;50.9
Nov-30;43.0
Dec-30;38.8
Jan-31;37.1
Feb-31;38.4
Mar-31;38.4
Apr-31;46.5
May-31;53.5
Jun-31;58.4
Jul-31;60.6
Aug-31;58.2
Sep-31;53.8
Oct-31;46.6
Nov-31;45.5
Dec-31;40.6
Jan-32;42.4
Feb-32;38.4
Mar-32;40.3
Apr-32;44.6
May-32;50.9
Jun-32;57.0
Jul-32;62.1
Aug-32;63.5
Sep-32;56.3
Oct-32;47.3
Nov-32;43.6
Dec-32;41.8
Jan-33;36.2
Feb-33;39.3
Mar-33;44.5
Apr-33;48.7
May-33;54.2
Jun-33;60.8
Jul-33;65.5
Aug-33;64.9
Sep-33;60.1
Oct-33;50.2
Nov-33;42.1
Dec-33;35.8
Jan-34;39.4
Feb-34;38.2
Mar-34;40.4
Apr-34;46.9
May-34;53.4
Jun-34;59.6
Jul-34;66.5
Aug-34;60.4
Sep-34;59.2
Oct-34;51.2
Nov-34;42.8
Dec-34;45.8
Jan-35;40.0
Feb-35;42.6
Mar-35;43.5
Apr-35;47.1
May-35;50.0
Jun-35;60.5
Jul-35;64.6
Aug-35;64.0
Sep-35;56.8
Oct-35;48.6
Nov-35;44.2
Dec-35;36.4
Jan-36;37.3
Feb-36;35.0
Mar-36;44.0
Apr-36;43.9
May-36;52.7
Jun-36;58.6
Jul-36;60.0
Aug-36;61.1
Sep-36;58.1
Oct-36;49.6
Nov-36;41.6
Dec-36;41.3
Jan-37;40.8
Feb-37;41.0
Mar-37;38.4
Apr-37;47.4
May-37;54.1
Jun-37;58.6
Jul-37;61.4
Aug-37;61.8
Sep-37;56.3
Oct-37;50.9
Nov-37;41.4
Dec-37;37.1
Jan-38;42.1
Feb-38;41.2
Mar-38;47.3
Apr-38;46.6
May-38;52.4
Jun-38;59.0
Jul-38;59.6
Aug-38;60.4
Sep-38;57.0
Oct-38;50.7
Nov-38;47.8
Dec-38;39.2
Jan-39;39.4
Feb-39;40.9
Mar-39;42.4
Apr-39;47.8
May-39;52.4
Jun-39;58.0
Jul-39;60.7
Aug-39;61.8
Sep-39;58.2
Oct-39;46.7
Nov-39;46.6
Dec-39;37.8
