Tanggal;Terakhir
26/11/2023;15.480,40
19/11/2023;15.560,00
12/11/2023;15.490,00
05/11/2023;15.690,00
29/10/2023;15.725,00
22/10/2023;15.935,00
15/10/2023;15.870,00
08/10/2023;15.680,00
01/10/2023;15.605,00
24/09/2023;15.450,00
17/09/2023;15.370,00
10/09/2023;15.350,00
03/09/2023;15.320,00
27/08/2023;15.235,00
20/08/2023;15.290,00
13/08/2023;15.280,00
06/08/2023;15.210,00
30/07/2023;15.165,00
23/07/2023;15.090,00
16/07/2023;15.020,00
09/07/2023;14.955,00
02/07/2023;15.130,00
25/06/2023;14.990,00
18/06/2023;14.990,00
11/06/2023;14.930,00
04/06/2023;14.835,00
28/05/2023;14.985,00
21/05/2023;14.950,00
14/05/2023;14.920,00
07/05/2023;14.745,00
30/04/2023;14.670,00
23/04/2023;14.665,00
16/04/2023;14.840,00
09/04/2023;14.695,00
02/04/2023;14.910,00
26/03/2023;14.990,00
19/03/2023;15.150,00
12/03/2023;15.340,00
05/03/2023;15.445,00
26/02/2023;15.295,00
19/02/2023;15.220,00
12/02/2023;15.200,00
05/02/2023;15.130,00
29/01/2023;14.890,00
22/01/2023;14.980,00
15/01/2023;15.070,00
08/01/2023;15.140,00
01/01/2023;15.630,00
25/12/2022;15.565,00
18/12/2022;15.590,00
11/12/2022;15.595,00
04/12/2022;15.582,00
27/11/2022;15.425,00
20/11/2022;15.670,00
13/11/2022;15.685,00
06/11/2022;15.490,00
30/10/2022;15.735,00
23/10/2022;15.548,00
16/10/2022;15.630,00
09/10/2022;15.425,00
02/10/2022;15.250,00
25/09/2022;15.225,00
18/09/2022;15.035,00
11/09/2022;14.950,00
04/09/2022;14.828,00
28/08/2022;14.895,00
21/08/2022;14.815,00
14/08/2022;14.835,00
07/08/2022;14.665,00
31/07/2022;14.890,00
24/07/2022;14.830,00
17/07/2022;15.015,00
10/07/2022;14.990,00
03/07/2022;14.975,00
26/06/2022;14.935,00
19/06/2022;14.845,00
12/06/2022;14.821,00
05/06/2022;14.550,00
29/05/2022;14.435,00
22/05/2022;14.575,00
15/05/2022;14.650,00
08/05/2022;14.610,00
01/05/2022;14.497,00
24/04/2022;14.495,00
17/04/2022;14.356,00
10/04/2022;14.343,00
03/04/2022;14.360,00
27/03/2022;14.365,00
20/03/2022;14.340,00
13/03/2022;14.340,00
06/03/2022;14.300,00
27/02/2022;14.385,00
20/02/2022;14.365,00
13/02/2022;14.325,00
06/02/2022;14.350,00
30/01/2022;14.378,00
23/01/2022;14.385,00
16/01/2022;14.335,00
09/01/2022;14.295,00
02/01/2022;14.355,00
26/12/2021;14.250,00
19/12/2021;14.220,00
12/12/2021;14.365,00
05/12/2021;14.370,00
28/11/2021;14.395,00
21/11/2021;14.300,00
14/11/2021;14.235,00
07/11/2021;14.233,00
31/10/2021;14.325,00
24/10/2021;14.165,00
17/10/2021;14.120,00
10/10/2021;14.070,00
03/10/2021;14.220,00
26/09/2021;14.305,00
19/09/2021;14.255,00
12/09/2021;14.225,00
05/09/2021;14.200,00
29/08/2021;14.260,00
22/08/2021;14.415,00
15/08/2021;14.450,00
08/08/2021;14.385,00
01/08/2021;14.350,00
25/07/2021;14.460,00
18/07/2021;14.490,00
11/07/2021;14.495,00
04/07/2021;14.525,00
27/06/2021;14.530,00
20/06/2021;14.420,00
13/06/2021;14.370,00
06/06/2021;14.188,00
30/05/2021;14.290,00
23/05/2021;14.280,00
16/05/2021;14.350,00
09/05/2021;14.195,00
02/05/2021;14.280,00
25/04/2021;14.440,00
18/04/2021;14.520,00
11/04/2021;14.560,00
04/04/2021;14.560,00
28/03/2021;14.520,00
21/03/2021;14.410,00
14/03/2021;14.400,00
07/03/2021;14.380,00
28/02/2021;14.290,00
21/02/2021;14.240,00
14/02/2021;14.060,00
07/02/2021;13.970,00
31/01/2021;14.020,00
24/01/2021;14.020,00
17/01/2021;14.020,00
10/01/2021;14.010,00
03/01/2021;13.980,00
27/12/2020;14.040,00
20/12/2020;14.150,00
13/12/2020;14.080,00
06/12/2020;14.070,00
29/11/2020;14.085,00
22/11/2020;14.070,00
15/11/2020;14.150,00
08/11/2020;14.150,00
01/11/2020;14.190,00
25/10/2020;14.620,00
18/10/2020;14.650,00
11/10/2020;14.670,00
04/10/2020;14.675,00
27/09/2020;14.830,00
20/09/2020;14.845,00
13/09/2020;14.730,00
06/09/2020;14.860,00
30/08/2020;14.740,00
23/08/2020;14.615,00
16/08/2020;14.770,00
09/08/2020;14.720,00
02/08/2020;14.580,00
26/07/2020;14.530,00
19/07/2020;14.540,00
12/07/2020;14.620,00
05/07/2020;14.360,00
28/06/2020;14.450,00
21/06/2020;14.150,00
14/06/2020;14.050,00
07/06/2020;14.050,00
31/05/2020;13.850,00
24/05/2020;14.575,00
17/05/2020;14.680,00
10/05/2020;14.830,00
03/05/2020;14.890,00
26/04/2020;14.825,00
19/04/2020;15.350,00
12/04/2020;15.400,00
05/04/2020;15.800,00
29/03/2020;16.400,00
22/03/2020;16.100,00
15/03/2020;15.900,00
08/03/2020;14.740,00
01/03/2020;14.220,00
23/02/2020;14.340,00
16/02/2020;13.760,00
09/02/2020;13.670,00
02/02/2020;13.670,00
26/01/2020;13.650,00
19/01/2020;13.565,00
12/01/2020;13.630,00
05/01/2020;13.755,00
29/12/2019;13.920,00
22/12/2019;13.945,00
15/12/2019;13.970,00
08/12/2019;13.980,00
01/12/2019;14.035,00
24/11/2019;14.100,00
17/11/2019;14.080,00
10/11/2019;14.068,00
03/11/2019;14.010,00
27/10/2019;14.030,00
20/10/2019;14.030,00
13/10/2019;14.139,00
06/10/2019;14.123,00
29/09/2019;14.130,00
22/09/2019;14.160,00
15/09/2019;14.050,00
08/09/2019;13.960,00
01/09/2019;14.090,00
25/08/2019;14.180,00
18/08/2019;14.210,00
11/08/2019;14.230,00
04/08/2019;14.185,00
28/07/2019;14.175,00
21/07/2019;13.999,00
14/07/2019;13.930,00
07/07/2019;13.999,00
30/06/2019;14.080,00
23/06/2019;14.125,00
16/06/2019;14.150,00
09/06/2019;14.320,00
02/06/2019;14.275,00
26/05/2019;14.270,00
19/05/2019;14.385,00
12/05/2019;14.445,00
05/05/2019;14.320,00
28/04/2019;14.250,00
21/04/2019;14.180,00
14/04/2019;14.040,00
07/04/2019;14.090,00
31/03/2019;14.120,00
24/03/2019;14.235,00
17/03/2019;14.160,00
10/03/2019;14.255,00
03/03/2019;14.305,00
24/02/2019;14.110,00
17/02/2019;14.055,00
10/02/2019;14.140,00
03/02/2019;13.960,00
27/01/2019;13.935,00
20/01/2019;14.080,00
13/01/2019;14.170,00
06/01/2019;14.040,00
