Tanggal;Jumlah
31/12/1960;3.031.474.234
31/12/1961;3.072.421.801
31/12/1962;3.126.849.612
31/12/1963;3.193.428.894
31/12/1964;3.260.441.925
31/12/1965;3.328.209.022
31/12/1966;3.398.480.280
31/12/1967;3.468.370.526
31/12/1968;3.540.164.023
31/12/1969;3.614.572.835
31/12/1970;3.690.209.960
31/12/1971;3.767.930.001
31/12/1972;3.843.607.574
31/12/1973;3.920.017.410
31/12/1974;3.995.888.368
31/12/1975;4.070.022.249
31/12/1976;4.143.091.942
31/12/1977;4.215.826.364
31/12/1978;4.289.795.862
31/12/1979;4.365.742.277
31/12/1980;4.442.348.279
31/12/1981;4.520.917.350
31/12/1982;4.602.701.335
31/12/1983;4.684.875.627
31/12/1984;4.766.640.881
31/12/1985;4.850.076.923
31/12/1986;4.936.006.502
31/12/1987;5.024.289.346
31/12/1988;5.113.387.878
31/12/1989;5.202.582.534
31/12/1990;5.293.395.467
31/12/1991;5.382.536.929
31/12/1992;5.470.164.577
31/12/1993;5.556.623.321
31/12/1994;5.642.046.034
31/12/1995;5.726.736.488
31/12/1996;5.811.580.202
31/12/1997;5.896.055.962
31/12/1998;5.979.726.559
31/12/1999;6.062.288.850
31/12/2000;6.144.321.462
31/12/2001;6.226.348.086
31/12/2002;6.308.140.970
31/12/2003;6.389.462.496
31/12/2004;6.470.924.346
31/12/2005;6.552.700.448
31/12/2006;6.635.110.367
31/12/2007;6.717.878.341
31/12/2008;6.801.710.019
31/12/2009;6.885.849.785
31/12/2010;6.970.038.720
31/12/2011;7.053.994.597
31/12/2012;7.141.487.869
31/12/2013;7.229.731.581
31/12/2014;7.317.970.484
31/12/2015;7.405.277.863
31/12/2016;7.492.156.881
31/12/2017;7.578.220.703
31/12/2018;7.661.776.612
31/12/2019;7.742.682.218
31/12/2020;7.820.963.775
31/12/2021;7.888.161.297
31/12/2022;7.951.149.546
